id,type,short_name
street_368,PASAJE,LA CALERA
street_369,PASEO,LA CALERA
street_370,PASAJE,LA CONCORDIA
street_371,PASAJE,LA CRUZ
street_372,CALLE,LA GIRALDA
street_373,PASAJE,LA GIRALDA
street_374,CALLE,LA PROA
street_375,CALLE,LA QUILLA
street_376,PASAJE,LA QUILLA
street_377,PASAJE,LA RADA
street_378,CALLE,LA RESACA
street_379,CALLE,LA TIRANA
street_380,PASAJE,LA TIRANA
street_381,CALLE,LA VERBENA
street_382,PASAJE,LA VERBENA
street_383,PASAJE,LACONIA
street_384,PASAJE,LAGUNA VERDE
street_385,CALLE,LAS ALGAS
street_386,CALLE,LAS AMAPOLAS
street_387,PASAJE,LAS AMAPOLAS
street_388,PASAJE,LAS ARALIAS
street_389,CALLE,LAS BRUMAS
street_390,PASAJE,LAS BRUMAS
street_391,CALLE,LAS DALIAS
street_392,CALLE,LAS DOCAS
street_393,CALLE,LAS ENCINAS
street_394,PASAJE,LAS ENCINAS
street_395,PASAJE,LAS GARDENIAS
street_396,PASAJE,LAS MAREJADAS
street_397,CALLE,LAS MAREJADAS
street_398,PASAJE,LAS OLAS
street_399,PASAJE,LAS PALMERAS
street_400,CALLE,LAS PALMERAS
street_401,CALLE,LAS REGATAS
street_402,PASAJE,LAS ROCAS
street_403,PASAJE,LAS TORMENTAS
street_404,PASAJE,LAS TORPEDERAS
street_405,CALLE,LAS TORPEDERAS
street_406,CALLE,LAS VERONICAS
street_407,PASAJE,LASTENIA VALDIVIESO
street_408,PASAJE,LEON WEINSTEIN
street_409,PASAJE,LEOPOLDO URRUTIA
street_410,CALLE,LEOPOLDO URRUTIA
street_411,CALLE,LICENCIADO DE LAS PEÑAS
street_412,PASAJE,LICENCIADO DE LAS PEÑAS
street_413,CALLE,LIMACHE
street_414,CALLE,LINCOYAN
street_415,PASAJE,LINE
street_416,CALLE,LLUTA
street_417,AVENIDA,LO ENCALADA
street_418,CALLE,LO ENCALADA
street_419,PASAJE,LO ENCALADA
street_420,PASAJE,LO PLAZA
street_421,PASAJE,LONGITUDINAL
street_422,CALLE,LONGITUDINAL
street_423,CALLE,LOS 3 ANTONIOS
street_424,PASAJE,LOS 3 ANTONIOS
street_425,CALLE,LOS AGUSTINOS
street_426,PASAJE,LOS ALBAÑILES
street_427,CALLE,LOS ALERCES
street_428,PASAJE,LOS ALERCES
street_429,PASAJE,LOS ALERCES INTERIOR
street_430,CALLE,LOS ALIAGA
street_431,PASAJE,LOS ALIAGA
street_432,CALLE,LOS ALMENDROS
street_433,PASAJE,LOS ALMENDROS
street_434,PASAJE,LOS ALMENDROS INTERIOR
street_435,PASAJE,LOS ARRECIFES
street_436,CALLE,LOS AVELLANOS
street_437,PASAJE,LOS CARPINTEROS
street_438,CALLE,LOS CEREZOS
street_439,PASAJE,LOS CEREZOS
street_440,CALLE,LOS CORALES
street_441,PASAJE,LOS CORTESES
street_442,PASAJE,LOS ENFIERRADORES
street_443,PASAJE,LOS ESCULTORES
street_444,PASAJE,LOS ESTUCADORES
street_445,PASAJE,LOS GIRASOLES
street_446,CALLE,LOS JARDINES
street_447,PASAJE,LOS JARDINES
street_448,PASAJE,LOS JARDINES INTERIOR
street_449,CALLE,LOS JAZMINES
street_450,PASAJE,LOS JAZMINES
street_451,PASAJE,LOS JORNALEROS
street_452,PASAJE,LOS LABRADORES
street_453,AVENIDA,LOS LEONES
street_454,PASAJE,LOS MARINEROS
street_455,CALLE,LOS NAVIOS
street_456,CALLE,LOS PESCADORES
street_457,CALLE,LOS POZOS
street_458,CALLE,LOS SALVAVIDAS
street_459,CALLE,LOS TALAVERAS
street_460,PASAJE,LOS TOTORALES
street_461,PASEO,LOS TOTORALES
street_462,PASAJE,LOS VELEROS
street_463,PASAJE,LOS VIDRIEROS
street_464,CALLE,LUIS ALBERTO HEIREMANS
street_465,CALLE,LUIS BELTRAN
street_466,CALLE,LUIS BERNARDIN
street_467,PASAJE,LUIS PEREIRA
street_468,CALLE,LUIS PEREIRA
street_469,CALLE,LUIS URIBE
street_470,PASAJE,MACUL
street_471,CALLE,MALAQUIAS CONCHA
street_472,CALLE,MANAGUA
street_473,CALLE,MANOLETE ESPARTERO
street_474,AVENIDA,MANUEL ANTONIO MATTA
street_475,CALLE,MANUEL BARRIOS
street_476,CALLE,MANUEL COVARRUBIAS
street_477,PASAJE,MANUEL DE SALAS
street_478,CALLE,MANUEL DE SALAS
street_479,AVENIDA,MANUEL MONTT
street_480,PASAJE,MANUTARA
street_481,AVENIDA,MARATHON
street_482,CALLE,MARCHANT PEREIRA
street_483,CALLE,MARIA CELESTE
street_484,CALLE,MARIA DE IGLESIAS
street_485,PASAJE,MARIO MARIN
street_486,PASAJE,MARTA
street_487,PASAJE,MATTA ORIENTE
street_488,CALLE,MATTA ORIENTE
street_489,CALLE,MAXIMO BACH
street_490,CALLE,MAXIMO JERIA
street_491,PASAJE,MISOLONGHI
street_492,CALLE,MONSEÑOR EYZAGUIRRE
street_493,PASAJE,MONTENEGRO
street_494,AVENIDA,MONTENEGRO
street_495,PASAJE,MONTENEGRO INTERIOR
street_496,CALLE,MUJICA
street_497,CALLE,NAMA
street_498,CALLE,NANCY
street_499,PASAJE,NARBONA
street_500,PASAJE,NATALIO STEIN
street_501,PASAJE,NELSON
street_502,CALLE,NELSON
street_503,CALLE,NICANOR MARAMBIO
street_504,CALLE,NICARAGUA
street_505,CALLE,NILAHUE
street_506,SIN,NOMBRE
street_507,CALLE,NORA
street_508,CALLE,NUEVA
street_509,CALLE,NUEVA 1
street_510,PASAJE,NUEVA 1
street_511,CALLE,NUEVA 2
street_512,CALLE,NUEVA HANNOVER
street_513,PASAJE,NUEVA LOS ALERCES
street_514,CALLE,NUEVA SEMINARIO
street_515,PASAJE,NUEVA SUCRE
street_516,CALLE,NUNCIO LAGHI
street_517,CALLE,NUÑEZ DE ARCE
street_518,CALLE,OBISPO  ORREGO
street_519,CALLE,OBISPO ORREGO
street_520,PASAJE,OBISPO ORREGO
street_521,CALLE,OLMUE
street_522,PASAJE,ONCE
street_523,PASAJE,ORTUZAR
street_524,AVENIDA,ORTUZAR
street_525,AVENIDA,OSSA
street_526,PASAJE,OSSA
street_527,CALLE,OSSA
street_528,CALLE,OTTAWA
street_529,CALLE,PACHICA
street_530,CALLE,PALQUI
street_531,CALLE,PANAMA
street_532,CALLE,PANULCILLO
street_533,PASAJE,PARIS
street_534,CALLE,PASCUAL BABURIZZA
street_535,PASAJE,PEATONES 12
street_536,PASAJE,PEATONES 14
street_537,CALLE,PEATONES 15
street_538,PASAJE,PEATONES 16
street_539,PASAJE,PEATONES 17
street_540,PASAJE,PEATONES 18
street_541,PASAJE,PEATONES 19
street_542,PASAJE,PEATONES 20
street_543,PASAJE,PEATONES 21
street_544,PASAJE,PEATONES 22
street_545,PASAJE,PEATONES 23
street_546,PASAJE,PEATONES 24
street_547,PASAJE,PEATONES 25
street_548,PASAJE,PEATONES 26
street_549,PASAJE,PEATONES 27
street_550,PASAJE,PEATONES 28
street_551,PASAJE,PEATONES 30
street_552,CALLE,PEATONES 31
street_553,PASAJE,PEATONES 32
street_554,PASAJE,PEATONES 33
street_555,PASAJE,PEATONES 35
street_556,PASAJE,PEATONES 36
street_557,CALLE,PEDRO AGUIRRE CERDA
street_558,CALLE,PEDRO DE OÑA
street_559,CALLE,PEDRO DE VALDIVIA
street_560,AVENIDA,PEDRO DE VALDIVIA
street_561,PASAJE,PEDRO DE VALDIVIA
street_562,CALLE,PEDRO HEMRICK LING
street_563,CALLE,PEDRO LOBOS
street_564,CALLE,PEDRO MARIN
street_565,CALLE,PEDRO MONTT
street_566,CALLE,PEDRO RICO
street_567,CALLE,PEDRO SOLIS
street_568,PASAJE,PEDRO SOLIS
street_569,PASAJE,PEDRO TORRES
street_570,CALLE,PEDRO TORRES
street_571,PASAJE,PELLIN
street_572,PASAJE,PERICLES
street_573,CALLE,PERICLES
street_574,CALLE,PEÑABLANCA
street_575,PASAJE,PEÑABLANCA
street_576,CALLE,PICHIDANGUI
street_577,PASAJE,PILMAIQUEN
street_578,CALLE,PLATON
street_579,CALLE,PLAYA 1
street_580,CALLE,PLAYA 2
street_581,CALLE,PLAYA ANCHA
street_582,PASAJE,PLAYA ANCHA
street_583,PASAJE,PLAZA EGAÑA
street_584,CALLE,PREMIO NOBEL
street_585,AVENIDA,PRESIDENTE BATTLE Y ORDOÑEZ
street_586,CALLE,PRESIDENTE MADERO
street_587,PASAJE,PRESIDENTE MADERO INTERIOR
street_588,PASAJE,PRIMAVERA
street_589,CALLE,PROFESOR JUAN GOMEZ MILLAS
street_590,PASAJE,PROFESOR JUAN GOMEZ MILLAS
street_591,PASAJE,PUCARA
street_592,AVENIDA,PUCARA
street_593,PASAJE,PUCARA INTERIOR
street_594,CALLE,PUCHACAI
street_595,CALLE,PUCHUNCAVI
street_596,CALLE,PUEBLO HUNDIDO
street_597,CALLE,PUMANQUE
street_598,CALLE,PUNITAQUI
street_599,CALLE,PUQUIOS
street_600,CALLE,QUILLAGUA
street_601,CALLE,QUILPUE
street_602,PASAJE,QUINQUIMO
street_603,CALLE,QUINQUIMO
street_604,PASAJE,QUINTAY
street_605,CALLE,QUIRIHUE
street_606,CALLE,QUIVOLGO
street_607,CALLE,RAFAEL PRADO
street_608,CALLE,RAMON CRUZ
street_609,PASAJE,RAMON CRUZ MONTT
street_610,PASAJE,RAMON ESCOBAR
street_611,CALLE,RAMON PUELMA
street_612,CALLE,RAPEL
street_613,PASAJE,RAUL CISTERNA
street_614,PASAJE,RAUL SILVA CASTRO
street_615,AVENIDA,REGINA PACIS
street_616,PASAJE,REINA DEL MAR
street_617,PASAJE,REMIGIO CANALES
street_618,PASAJE,REMIGIO CANALES INTERIOR
street_619,CALLE,RENGO
street_620,CALLE,REPUBLICA DE ISRAEL
street_621,PASAJE,REPUBLICA DE ISRAEL
street_622,CALLE,RESIDENCIAL SEMINARIO
street_623,AVENIDA,RICARDO LYON
street_624,PASAJE,RICARDO LYON
street_625,PASAJE,RITOQUE
street_626,CALLE,RITOQUE
street_627,CALLE,RIVADAVIA
street_628,CALLE,RODOLFO LENZ
street_629,PASAJE,RODRIGO DE ARAYA
street_630,AVENIDA,RODRIGO DE ARAYA
street_631,CALLE,RODRIGO DE ARAYA
street_632,CALLE,ROMAN DIAZ
street_633,CALLE,ROMEO SALINAS
street_634,PASAJE,ROSEMBLITT
street_635,PASAJE,ROSITA RENARD
street_636,CALLE,ROSITA RENARD
street_637,PASAJE,RUCAPIREN
street_638,CALLE,SALITRE
street_639,PASAJE,SALITRE
street_640,PASAJE,SALOMON DORFMAN
street_641,CALLE,SALVADOR
street_642,PASAJE,SALVADOR
street_643,AVENIDA,SALVADOR
street_644,CALLE,SALVADOR  SUR
street_645,CALLE,SALVADOR REYES
street_646,CALLE,SALVADOR SUR
street_647,AVENIDA,SALVADOR SUR
street_648,PASAJE,SALVADOR SUR
street_649,CALLE,SAN ANDRES
street_650,AVENIDA,SAN EUGENIO
street_651,PASAJE,SAN EUGENIO
street_652,CALLE,SAN EUGENIO
street_653,CALLE,SAN FELIPE
street_654,PASAJE,SAN FERNANDO
street_655,CALLE,SAN FERNANDO
street_656,CALLE,SAN JORGE
street_657,CALLE,SAN JUAN
street_658,CALLE,SAN JUAN DE LUZ
street_659,PASAJE,SAN JUAN DE LUZ
street_660,CALLE,SAN PEDRO
street_661,PASAJE,SANTA ELVIRA
street_662,CALLE,SANTA EMMA
street_663,CALLE,SANTA JULIA
street_664,PASAJE,SANTA JULIA
street_665,PASAJE,SANTA JULIA INTERIOR
street_666,PASAJE,SANTO TORIBIO
street_667,CALLE,SARGENTO CANDELARIA
street_668,CALLE,SARGENTO LUIS NAVARRETE
street_669,CALLE,SARGENTO MENADIER
street_670,PASAJE,SARMIENTO
street_671,CALLE,SAUZAL
street_672,AVENIDA,SEMINARIO
street_673,CALLE,SEMINARIO
street_674,CALLE,SILVIO GUERRERO
street_675,PASAJE,SIMON BOLIVAR
street_676,AVENIDA,SIMON BOLIVAR
street_677,CALLE,SIMON BOLIVAR
street_678,CALLE,SIN NOMBRE
street_679,PASAJE,SIN NOMBRE
street_680,CALLE,SOCAIRE
street_681,CALLE,SOCRATES
street_682,CALLE,SUAREZ MUJICA
street_683,PASAJE,SUAREZ MUJICA
street_684,PASAJE,SUCRE
street_685,AVENIDA,SUCRE
street_686,PASAJE,SUECIA
street_687,AVENIDA,SUECIA
street_688,AVENIDA,SUR
street_689,PASAJE,TALA
street_690,PASAJE,TALCA
street_691,CALLE,TAMAYA
street_692,PASAJE,TANUME
street_693,PASAJE,TAPIHUE
street_694,CALLE,TATIO
street_695,PASAJE,TEGUALDA
street_696,CALLE,TEGUALDA
street_697,CALLE,TENIENTE COMPTON
street_698,CALLE,TENIENTE MONTT
street_699,PASAJE,TENIENTE MONTT INTERIOR
street_700,CALLE,TIL TIL
street_701,AVENIDA,TOBALABA
street_702,PASAJE,TOBALABA
street_703,PASAJE,TOTORAL
street_704,CALLE,TOTORAL
street_705,PASAJE,TRANSVERSAL SUAREZ MUJICA
street_706,CALLE,TRANSVERSAL SUAREZ MUJICA
street_707,PASAJE,TRAPILHUE
street_708,PASAJE,TREINTA Y SIETE
street_709,PASAJE,TREJO
street_710,PASAJE,TRIHUE
street_711,CALLE,TRONCOS VIEJOS
street_712,CALLE,TUCAPEL
street_713,CALLE,TUNGA
street_714,CALLE,UNION LITERARIA
street_715,PASAJE,UNO
street_716,CALLE,VALENCIA
street_717,CALLE,VALPARAISO
street_718,CALLE,VARSOVIA
street_719,PASAJE,VASCO DE GAMA
street_720,CALLE,VASCO DE GAMA
street_721,PASAJE,VEINTINUEVE
street_722,CALLE,VIA 10
street_723,PASAJE,VIA 11
street_724,CALLE,VIA 12
street_725,CALLE,VIA 13
street_726,CALLE,VIA 14
street_727,PASAJE,VIA 7
street_728,CALLE,VIA 7
street_729,CALLE,VIA 8
street_730,CALLE,VIA 8 Y MEDIO
street_731,CALLE,VIA 9
street_732,CALLE,VIA SATELITE
street_733,PASAJE,VIA SIETE
street_734,CALLE,VICENTE REYES
street_735,AVENIDA,VICUÑA MACKENNA
street_736,PASAJE,VILLA ISRAEL
street_737,CALLE,VILLASECA
street_738,PASAJE,VILLASECA
street_739,PASAJE,VILLOSLAVA
street_740,CALLE,VILLOSLAVA
street_741,PASAJE,VIRGINIO ARIAS
street_742,CALLE,VIRGINIO ARIAS
street_743,CALLE,WASHINGTON ESPEJO
street_744,PASAJE,WILLIAMS REBOLLEDO
street_745,CALLE,WILLIAMS REBOLLEDO
street_746,PASAJE,ZAÑARTU
street_747,AVENIDA,ZAÑARTU
